	SPU_peptide	diadema.best
OG0013091	SPU_004798	
OG0013092	SPU_007899	
OG0013093	SPU_012148	
OG0013094	SPU_004913	
OG0013095	SPU_022474	
OG0013096	SPU_007165	
OG0013097	SPU_028676	
OG0013098	SPU_021011	
OG0013099	SPU_024112	
OG0013100	SPU_005570	
OG0013101	SPU_013654	
OG0013102	SPU_021738	
OG0013103	SPU_024774	
OG0013104	SPU_023311	
OG0013105	SPU_011275	
OG0013106	SPU_012069	
OG0013107	SPU_020937	
OG0013108	SPU_007870	
OG0013109	SPU_009393	
OG0013110	SPU_009458	
OG0013111	SPU_019849	
OG0013112	SPU_004100	
OG0013113	SPU_001726	
OG0013114	SPU_005556	
OG0013115	SPU_027796	
OG0013116	SPU_023232	
OG0013117	SPU_030008	
OG0013118	SPU_000076	
OG0013119	SPU_000925	
OG0013120	SPU_003961	
OG0013121	SPU_013568	
OG0013122	SPU_006278	
OG0013123	SPU_016669	
OG0013124	SPU_020124	
OG0013125	SPU_007122	
OG0013126	SPU_015206	
OG0013127	SPU_008700	
OG0013128	SPU_026261	
OG0013129	SPU_026988	
OG0013130	SPU_014405	
OG0013131	SPU_018170	
OG0013132	SPU_017506	
OG0013133	SPU_012810	
OG0013134	SPU_021623	
OG0013135	SPU_007043	
OG0013136	SPU_015062	
OG0013137	SPU_015127	
OG0013138	SPU_000774	
OG0013139	SPU_017434	
OG0013140	SPU_009415	
OG0013141	SPU_018228	
OG0013142	SPU_011894	
OG0013143	SPU_028554	
OG0013144	SPU_020038	
OG0013145	SPU_020822	
OG0013146	SPU_007820	
OG0013147	SPU_009343	
OG0013148	SPU_018156	
OG0013149	SPU_004597	
OG0013150	SPU_009336	
OG0013151	SPU_025439	
OG0013152	SPU_011146	
OG0013153	SPU_003127	
OG0013154	SPU_012724	
OG0013155	SPU_024573	
OG0013156	SPU_026096	
OG0013157	SPU_027674	
OG0013158	SPU_019655	
OG0013159	SPU_021465	
OG0013160	SPU_023772	
OG0013161	SPU_015818	
OG0013162	SPU_024566	
OG0013163	SPU_019648	
OG0013164	SPU_001525	
OG0013165	SPU_006084	
OG0013166	SPU_022187	
OG0013167	SPU_022971	
OG0013168	SPU_015746	
OG0013169	SPU_008456	
OG0013170	SPU_024559	
OG0013171	SPU_028389	
OG0013172	SPU_001453	
OG0013173	SPU_010266	
OG0013174	SPU_001518	
OG0013175	SPU_012573	
OG0013176	SPU_014945	
OG0013177	SPU_017981	
OG0013178	SPU_011110	
OG0013179	SPU_022230	
OG0013180	SPU_030242	
OG0013181	SPU_026060	
OG0013182	SPU_001446	
OG0013183	SPU_027703	
OG0013184	SPU_028432	
OG0013185	SPU_014873	
OG0013186	SPU_023686	
OG0013187	SPU_008377	
OG0013188	SPU_022223	
OG0013189	SPU_023017	
OG0013190	SPU_000580	
OG0013191	SPU_016511	
OG0013192	SPU_023801	
OG0013193	SPU_003681	
OG0013194	SPU_002952	
OG0013195	SPU_007576	
OG0013196	SPU_011031	
OG0013197	SPU_025252	
OG0013198	SPU_018027	
OG0013199	SPU_019540	
OG0013200	SPU_018811	
OG0013201	SPU_012487	
OG0013202	SPU_014859	
OG0013203	SPU_017161	
OG0013204	SPU_017226	
OG0013205	SPU_027552	
OG0013206	SPU_007497	
OG0013207	SPU_017888	
OG0013208	SPU_011017	
OG0013209	SPU_006034	
OG0013210	SPU_013324	
OG0013211	SPU_008341	
OG0013212	SPU_023715	
OG0013213	SPU_026751	
OG0013214	SPU_028274	
OG0013215	SPU_010216	
OG0013216	SPU_003710	
OG0013217	SPU_004504	
OG0013218	SPU_014830	
OG0013219	SPU_022914	
OG0013220	SPU_025166	
OG0013221	SPU_017147	
OG0013222	SPU_019454	
OG0013223	SPU_013979	
OG0013224	SPU_010144	
OG0013225	SPU_003703	
OG0013226	SPU_021329	
OG0013227	SPU_014039	
OG0013228	SPU_007533	
OG0013229	SPU_009056	
OG0013230	SPU_009840	
OG0013231	SPU_001993	
OG0013232	SPU_018653	
OG0013233	SPU_002787	
OG0013234	SPU_003631	
OG0013235	SPU_011650	
OG0013236	SPU_025087	
OG0013237	SPU_000523	
OG0013238	SPU_021185	
OG0013239	SPU_006660	
OG0013240	SPU_008183	
OG0013241	SPU_022763	
OG0013242	SPU_030113	
OG0013243	SPU_030080	
OG0013244	SPU_009826	
OG0013245	SPU_027502	
OG0013246	SPU_013159	
OG0013247	SPU_020449	
OG0013248	SPU_007382	
OG0013249	SPU_013943	
OG0013250	SPU_016195	
OG0013251	SPU_008176	
OG0013252	SPU_009819	
OG0013253	SPU_018567	
OG0013254	SPU_017838	
OG0013255	SPU_000444	
OG0013256	SPU_017104	
OG0013257	SPU_025123	
OG0013258	SPU_021890	
OG0013259	SPU_014665	
OG0013260	SPU_016188	
OG0013261	SPU_017766	
OG0013262	SPU_010101	
OG0013263	SPU_002809	
OG0013264	SPU_021883	
OG0013265	SPU_006574	
OG0013266	SPU_015387	
OG0013267	SPU_013929	
OG0013268	SPU_008946	
OG0013269	SPU_017694	
OG0013270	SPU_018488	
OG0013271	SPU_023521	
OG0013272	SPU_008212	
OG0013273	SPU_024315	
OG0013274	SPU_026622	
OG0013275	SPU_011485	
OG0013276	SPU_023399	
OG0013277	SPU_019260	
OG0013278	SPU_026550	
OG0013279	SPU_018531	
OG0013280	SPU_003394	
OG0013281	SPU_028922	
OG0013282	SPU_021869	
OG0013283	SPU_005032	
OG0013284	SPU_013051	
OG0013285	SPU_020406	
OG0013286	SPU_006610	
OG0013287	SPU_023442	
OG0013288	SPU_016152	
OG0013289	SPU_019253	
OG0013290	SPU_028066	
OG0013291	SPU_011521	
OG0013292	SPU_022641	
OG0013293	SPU_030055	
OG0013294	SPU_000279	
OG0013295	SPU_001792	
OG0013296	SPU_024229	
OG0013297	SPU_020996	
OG0013298	SPU_012977	
OG0013299	SPU_021056	
OG0013300	SPU_006531	
OG0013301	SPU_022634	
OG0013302	SPU_014615	
OG0013303	SPU_000991	
OG0013304	SPU_019174	
OG0013305	SPU_019239	
OG0013306	SPU_004886	
OG0013307	SPU_028836	
OG0013308	SPU_020255	
OG0013309	SPU_000984	
OG0013310	SPU_017644	
OG0013311	SPU_009625	
OG0013312	SPU_018373	
OG0013313	SPU_025728	
OG0013314	SPU_011435	
OG0013315	SPU_005723	
OG0013316	SPU_007246	
OG0013317	SPU_023349	
OG0013318	SPU_024078	
OG0013319	SPU_009553	
OG0013320	SPU_026385	
OG0013321	SPU_027179	
OG0013322	SPU_001821	
OG0013323	SPU_012092	
OG0013324	SPU_002615	
OG0013325	SPU_012941	
OG0013326	SPU_013670	
OG0013327	SPU_022548	
OG0013328	SPU_024790	
OG0013329	SPU_008752	
OG0013330	SPU_009546	
OG0013331	SPU_018294	
OG0013332	SPU_019872	
OG0013333	SPU_028685	
OG0013334	SPU_010562	
OG0013335	SPU_003272	
OG0013336	SPU_027222	
OG0013337	SPU_019203	
OG0013338	SPU_011356	
OG0013339	SPU_030047	
OG0013340	SPU_013728	
OG0013341	SPU_006438	
OG0013342	SPU_007951	
